image_id,label
7209,Class 2
10112,Class 6
9209,Class 6
8315,Class 4
8589,Class 2
9817,Class 6
8879,Class 5
11413,Class 2
10174,Class 5
11982,Class 3
11221,Class 6
7806,Class 5
8711,Class 2
7743,Class 2
9426,Class 4
10399,Class 2
10344,Class 5
11873,Class 6
9258,Class 5
8212,Class 2
11812,Class 4
7942,Class 6
9060,Class 2
10236,Class 5
10815,Class 2
8270,Class 2
10101,Class 4
10640,Class 2
9679,Class 5
10981,Class 5
10956,Class 3
7514,Class 3
10257,Class 5
10092,Class 2
10864,Class 2
10857,Class 6
9628,Class 6
7510,Class 4
10693,Class 2
10186,Class 5
10648,Class 2
11460,Class 3
8103,Class 4
9250,Class 5
11381,Class 2
9042,Class 4
11708,Class 4
11477,Class 2
11891,Class 2
10546,Class 6
11741,Class 3
11850,Class 4
9918,Class 4
10432,Class 4
11282,Class 5
10660,Class 3
7716,Class 4
11684,Class 2
10515,Class 4
11241,Class 2
9211,Class 4
8088,Class 4
9904,Class 3
9026,Class 5
10868,Class 5
11692,Class 2
10138,Class 2
8032,Class 2
9463,Class 2
7224,Class 2
8621,Class 5
8001,Class 3
11881,Class 4
9981,Class 4
8324,Class 6
8241,Class 2
10798,Class 5
7958,Class 3
8100,Class 4
7722,Class 4
8282,Class 5
11542,Class 6
10460,Class 2
10470,Class 2
8953,Class 2
8480,Class 2
8890,Class 4
10266,Class 5
11185,Class 4
8973,Class 4
8511,Class 3
10014,Class 6
11597,Class 2
9899,Class 4
7705,Class 2
9372,Class 4
11161,Class 4
10625,Class 6
11072,Class 6
11168,Class 4
9938,Class 2
10988,Class 2
9344,Class 5
9552,Class 6
8316,Class 2
10714,Class 2
8912,Class 2
11451,Class 5
10343,Class 2
7403,Class 4
8053,Class 2
8699,Class 3
10748,Class 4
9902,Class 4
10668,Class 2
7316,Class 2
7706,Class 6
7524,Class 5
8623,Class 2
8298,Class 2
9417,Class 2
8486,Class 4
8612,Class 4
10107,Class 4
7411,Class 2
10593,Class 5
7646,Class 2
7280,Class 2
9740,Class 3
11049,Class 4
9652,Class 4
8628,Class 2
7769,Class 2
11265,Class 6
10228,Class 2
8520,Class 5
7244,Class 5
7347,Class 4
8287,Class 2
11472,Class 5
10179,Class 5
8233,Class 4
7455,Class 2
11339,Class 4
9141,Class 5
9173,Class 4
10038,Class 2
7324,Class 6
8365,Class 4
9897,Class 5
9624,Class 3
8004,Class 4
10902,Class 6
11977,Class 5
10149,Class 2
10524,Class 6
9776,Class 2
11897,Class 2
10405,Class 5
9774,Class 2
11884,Class 2
8883,Class 5
9264,Class 4
10959,Class 4
9989,Class 4
9406,Class 2
7592,Class 2
8929,Class 4
10680,Class 4
8707,Class 5
7755,Class 2
7771,Class 2
8073,Class 2
11831,Class 6
7442,Class 3
7227,Class 2
7909,Class 4
9967,Class 4
10743,Class 4
10967,Class 4
7920,Class 4
7404,Class 4
10086,Class 3
9920,Class 5
7600,Class 2
11155,Class 5
10479,Class 4
9385,Class 4
7644,Class 5
8726,Class 2
9531,Class 5
8915,Class 3
10215,Class 4
9581,Class 2
10592,Class 5
9758,Class 4
10944,Class 4
9954,Class 4
11804,Class 5
11264,Class 2
8130,Class 2
10032,Class 2
11210,Class 2
9161,Class 4
10795,Class 4
8753,Class 4
10378,Class 4
10289,Class 2
11636,Class 4
7304,Class 4
7795,Class 2
8560,Class 5
9697,Class 5
10212,Class 2
9962,Class 5
9436,Class 5
11877,Class 2
10497,Class 2
7352,Class 2
10888,Class 2
7472,Class 4
11581,Class 2
11642,Class 2
8783,Class 5
9635,Class 4
7504,Class 5
7249,Class 5
10288,Class 2
8574,Class 4
8507,Class 4
7548,Class 3
8990,Class 6
11029,Class 2
7549,Class 2
9160,Class 2
8050,Class 4
7590,Class 2
11687,Class 2
8280,Class 5
7343,Class 2
8456,Class 5
9030,Class 6
9613,Class 3
11149,Class 2
11108,Class 5
7579,Class 3
10331,Class 4
11389,Class 4
8157,Class 4
9963,Class 4
11498,Class 4
9977,Class 4
7279,Class 4
11391,Class 4
9828,Class 2
8038,Class 6
8690,Class 5
8423,Class 2
7627,Class 6
8274,Class 2
9693,Class 2
7628,Class 6
7596,Class 3
10118,Class 3
7802,Class 4
8913,Class 4
9614,Class 4
10206,Class 2
7902,Class 2
7495,Class 4
8191,Class 2
9331,Class 2
11153,Class 4
10550,Class 4
9006,Class 4
9840,Class 2
10091,Class 2
