Image Name,Predicted Class,Confidence Score
7209.jpg,"Class 2
",0.95667297
10112.jpg,"Class 6
",0.9919355
9209.jpg,"Class 6
",0.9999304
8315.jpg,"Class 4
",1.0
8589.jpg,"Class 2
",1.0
9817.jpg,"Class 6
",0.94342005
8879.jpg,"Class 5
",1.0
11413.jpg,"Class 2
",0.9999938
10174.jpg,"Class 5
",1.0
11982.jpg,"Class 3
",0.999972
11221.jpg,"Class 6
",0.9649051
7806.jpg,"Class 5
",1.0
8711.jpg,"Class 2
",0.9621027
7743.jpg,"Class 2
",0.98902637
9426.jpg,"Class 4
",0.99999964
10399.jpg,"Class 2
",0.99709475
10344.jpg,"Class 5
",0.86925304
11873.jpg,"Class 6
",0.61153555
9258.jpg,"Class 5
",1.0
8212.jpg,"Class 2
",1.0
11812.jpg,"Class 4
",0.9999993
7942.jpg,"Class 6
",0.9999809
9060.jpg,"Class 2
",0.99827814
10236.jpg,"Class 5
",1.0
10815.jpg,"Class 2
",0.99999785
8270.jpg,"Class 2
",0.9999875
10101.jpg,"Class 4
",1.0
10640.jpg,"Class 2
",0.9999896
9679.jpg,"Class 5
",1.0
10981.jpg,"Class 5
",1.0
10956.jpg,"Class 3
",0.91342646
7514.jpg,"Class 3
",0.99999726
10257.jpg,"Class 5
",0.99998724
10092.jpg,"Class 2
",0.9997887
10864.jpg,"Class 2
",0.8672194
10857.jpg,"Class 6
",0.9994357
9628.jpg,"Class 6
",0.9999962
7510.jpg,"Class 4
",0.999972
10693.jpg,"Class 2
",0.9997248
10186.jpg,"Class 5
",0.99997425
10648.jpg,"Class 2
",0.9989153
11460.jpg,"Class 3
",1.0
8103.jpg,"Class 4
",0.9942484
9250.jpg,"Class 5
",1.0
11381.jpg,"Class 2
",0.7716976
9042.jpg,"Class 4
",0.80570894
11708.jpg,"Class 4
",0.5932319
11477.jpg,"Class 2
",1.0
11891.jpg,"Class 2
",0.8927524
10546.jpg,"Class 6
",1.0
11741.jpg,"Class 3
",1.0
11850.jpg,"Class 4
",0.9999491
9918.jpg,"Class 4
",0.97569907
10432.jpg,"Class 4
",0.8224881
11282.jpg,"Class 5
",0.9966382
10660.jpg,"Class 3
",1.0
7716.jpg,"Class 4
",0.99999964
11684.jpg,"Class 2
",1.0
10515.jpg,"Class 4
",0.99513197
11241.jpg,"Class 2
",0.9152275
9211.jpg,"Class 4
",0.9988024
8088.jpg,"Class 4
",0.5006523
9904.jpg,"Class 3
",1.0
9026.jpg,"Class 5
",1.0
10868.jpg,"Class 5
",0.99594814
11692.jpg,"Class 2
",1.0
10138.jpg,"Class 2
",1.0
8032.jpg,"Class 2
",0.99995494
9463.jpg,"Class 2
",0.94044155
7224.jpg,"Class 2
",0.58863103
8621.jpg,"Class 5
",1.0
8001.jpg,"Class 3
",0.99972945
11881.jpg,"Class 4
",0.98750615
